"Produkt_Code","SDO_ID","Zeitstempel","Wert","Qualitaet_Byte","Qualitaet_Niveau"
"F_MN003","691","201902061800","3","10","4"
"F_MN003","691","201902061900","2.4","10","4"
"F_MN003","691","201902062000","2.6","10","4"
"F_MN003","691","201902062100","2.3","10","4"
"F_MN003","691","201902062200","2.6","10","4"
"F_MN003","691","201902062300","2.3","10","4"
"F_MN003","691","201902070000","3","10","4"
"F_MN003","691","201902070100","3.2","10","4"
"F_MN003","691","201902070200","3.3","10","4"
"F_MN003","691","201902070300","3.3","10","4"
"F_MN003","691","201902070400","4.2","10","4"
"F_MN003","691","201902070500","5","10","4"
"F_MN003","691","201902070600","5.5","10","4"
"F_MN003","691","201902070700","5.1","10","4"
"F_MN003","691","201902070800","5.2","10","4"
"F_MN003","691","201902070900","5.4","10","4"
"F_MN003","691","201902071000","6.3","10","4"
"F_MN003","691","201902071100","6.4","10","4"
"F_MN003","691","201902071200","8.1","10","4"
"F_MN003","691","201902071300","9.9","10","4"
"F_MN003","691","201902071400","9.7","10","4"
"F_MN003","691","201902071500","8.3","10","4"
"F_MN003","691","201902071600","7.2","10","4"
"F_MN003","691","201902071700","7.1","10","4"
"F_MN003","691","201902071800","7.4","10","4"
"F_MN003","691","201902071900","9","10","4"
"F_MN003","691","201902072000","9.6","10","4"
"F_MN003","691","201902072100","7.8","10","4"
"F_MN003","691","201902072200","7.8","10","4"
"F_MN003","691","201902072300","6","10","4"
"F_MN003","691","201902080000","6.3","10","4"
"F_MN003","691","201902080100","7.1","10","4"
"F_MN003","691","201902080200","6.5","10","4"
"F_MN003","691","201902080300","5.9","10","4"
"F_MN003","691","201902080400","6.2","10","4"
"F_MN003","691","201902080500","6.8","10","4"
"F_MN003","691","201902080600","5.7","10","4"
"F_MN003","691","201902080700","5.5","10","4"
"F_MN003","691","201902080800","6.1","10","4"
"F_MN003","691","201902080900","5.8","10","4"
"F_MN003","691","201902081000","5.5","10","4"
"F_MN003","691","201902081100","6.8","10","4"
"F_MN003","691","201902081200","7.2","10","4"
"F_MN003","691","201902081300","7.4","10","4"
"F_MN003","691","201902081400","7.5","10","4"
"F_MN003","691","201902081500","7.6","10","4"
"F_MN003","691","201902081600","7","10","4"
"F_MN003","691","201902081700","7.5","10","4"
"F_MN003","691","201902081800","8.1","10","4"
"F_MN003","691","201902081900","8.3","10","4"
"F_MN003","691","201902082000","8.6","10","4"
"F_MN003","691","201902082100","8.6","10","4"
"F_MN003","691","201902082200","8.3","10","4"
"F_MN003","691","201902082300","8.3","10","4"
"F_MN003","691","201902090000","7.8","10","4"
"F_MN003","691","201902090100","8","10","4"
"F_MN003","691","201902090200","8.2","10","4"
"F_MN003","691","201902090300","8.3","10","4"
"F_MN003","691","201902090400","8.2","10","4"
"F_MN003","691","201902090500","7.8","10","4"
"F_MN003","691","201902090600","7.7","10","4"
