"Produkt_Code","SDO_ID","Zeitstempel","Wert","Qualitaet_Byte","Qualitaet_Niveau"
"TT_TU_MN009","691","201902051900","4","7","1"
"TT_TU_MN009","691","201902052000","3.9","7","1"
"TT_TU_MN009","691","201902052100","3.7","7","1"
"TT_TU_MN009","691","201902052200","3.4","7","1"
"TT_TU_MN009","691","201902052300","3.3","7","1"
"TT_TU_MN009","691","201902060000","3.4","7","1"
"TT_TU_MN009","691","201902060100","3.3","7","1"
"TT_TU_MN009","691","201902060200","2.9","7","1"
"TT_TU_MN009","691","201902060300","2.3","7","1"
"TT_TU_MN009","691","201902060400","2.3","7","1"
"TT_TU_MN009","691","201902060500","2.6","7","1"
"TT_TU_MN009","691","201902060600","3","7","1"
"TT_TU_MN009","691","201902060700","3.2","7","1"
"TT_TU_MN009","691","201902060800","3.9","7","1"
"TT_TU_MN009","691","201902060900","4.4","7","1"
"TT_TU_MN009","691","201902061000","5.6","7","1"
"TT_TU_MN009","691","201902061100","6.2","7","1"
"TT_TU_MN009","691","201902061200","5.7","7","1"
"TT_TU_MN009","691","201902061300","5.6","7","1"
"TT_TU_MN009","691","201902061400","5.6","7","1"
"TT_TU_MN009","691","201902061500","5.3","7","1"
"TT_TU_MN009","691","201902061600","5.2","7","1"
"TT_TU_MN009","691","201902061700","5.1","7","1"
"TT_TU_MN009","691","201902061800","5.3","7","1"
"TT_TU_MN009","691","201902061900","5.3","7","1"
"TT_TU_MN009","691","201902062000","5.4","7","1"
"TT_TU_MN009","691","201902062100","5.6","7","1"
"TT_TU_MN009","691","201902062200","5.5","7","1"
"TT_TU_MN009","691","201902062300","5.4","7","1"
"TT_TU_MN009","691","201902070000","5.2","7","1"
"TT_TU_MN009","691","201902070100","5","7","1"
"TT_TU_MN009","691","201902070200","4.7","7","1"
"TT_TU_MN009","691","201902070300","4.5","7","1"
"TT_TU_MN009","691","201902070400","4.6","7","1"
"TT_TU_MN009","691","201902070500","5","7","1"
"TT_TU_MN009","691","201902070600","4.9","7","1"
"TT_TU_MN009","691","201902070700","4.6","7","1"
"TT_TU_MN009","691","201902070800","5.1","7","1"
"TT_TU_MN009","691","201902070900","6","7","1"
"TT_TU_MN009","691","201902071000","6.5","7","1"
"TT_TU_MN009","691","201902071100","7.7","7","1"
"TT_TU_MN009","691","201902071200","9.3","7","1"
"TT_TU_MN009","691","201902071300","9.2","7","1"
"TT_TU_MN009","691","201902071400","9.2","7","1"
"TT_TU_MN009","691","201902071500","9.1","7","1"
"TT_TU_MN009","691","201902071600","8.7","7","1"
"TT_TU_MN009","691","201902071700","8.2","7","1"
"TT_TU_MN009","691","201902071800","7.8","7","1"
"TT_TU_MN009","691","201902071900","8.3","7","1"
"TT_TU_MN009","691","201902072000","5.6","7","1"
"TT_TU_MN009","691","201902072100","5.5","7","1"
"TT_TU_MN009","691","201902072200","5.9","7","1"
"TT_TU_MN009","691","201902072300","5.9","7","1"
"TT_TU_MN009","691","201902080000","5.7","7","1"
"TT_TU_MN009","691","201902080100","5.8","7","1"
"TT_TU_MN009","691","201902080200","6.2","7","1"
"TT_TU_MN009","691","201902080300","6.4","7","1"
"TT_TU_MN009","691","201902080400","6.4","7","1"
"TT_TU_MN009","691","201902080500","6.3","7","1"
"TT_TU_MN009","691","201902080600","6.1","7","1"
"TT_TU_MN009","691","201902080700","6.4","7","1"
"TT_TU_MN009","691","201902080800","6","7","1"
"TT_TU_MN009","691","201902080900","6","7","1"
"TT_TU_MN009","691","201902081000","6.3","7","1"
"TT_TU_MN009","691","201902081100","6.9","7","1"
"TT_TU_MN009","691","201902081200","7.6","7","1"
"TT_TU_MN009","691","201902081300","8.6","7","1"
"TT_TU_MN009","691","201902081400","8.8","7","1"
"TT_TU_MN009","691","201902081500","8.6","7","1"
"TT_TU_MN009","691","201902081600","8.6","7","1"
"TT_TU_MN009","691","201902081700","8.8","7","1"
"TT_TU_MN009","691","201902081800","8.8","7","1"
"TT_TU_MN009","691","201902081900","8.8","7","1"
"TT_TU_MN009","691","201902082000","8.8","7","1"
"TT_TU_MN009","691","201902082100","8.7","7","1"
"TT_TU_MN009","691","201902082200","8.9","7","1"
"TT_TU_MN009","691","201902082300","9.1","7","1"
"TT_TU_MN009","691","201902090000","8.2","7","1"
"TT_TU_MN009","691","201902090100","7.7","7","1"
"TT_TU_MN009","691","201902090200","7.5","7","1"
"TT_TU_MN009","691","201902090300","7.6","7","1"
"TT_TU_MN009","691","201902090400","7.8","7","1"
"TT_TU_MN009","691","201902090500","7.9","7","1"
"TT_TU_MN009","691","201902090600","8","7","1"
"TT_TU_MN009","691","201902090700","7.5","7","1"
"TT_TU_MN009","691","201902090800","7.9","7","1"
"TT_TU_MN009","691","201902090900","8.4","7","1"
"TT_TU_MN009","691","201902091000","8.7","7","1"
"TT_TU_MN009","691","201902091100","9","7","1"
"TT_TU_MN009","691","201902091200","9","7","1"
"TT_TU_MN009","691","201902091300","10","7","1"
"TT_TU_MN009","691","201902091400","7.7","7","1"
"TT_TU_MN009","691","201902091500","8.6","7","1"
"TT_TU_MN009","691","201902091600","7.1","7","1"
"TT_TU_MN009","691","201902091700","7","7","1"
"TT_TU_MN009","691","201902091800","7.5","7","1"
"TT_TU_MN009","691","201902091900","8","7","1"
"TT_TU_MN009","691","201902092000","8.2","7","1"
"TT_TU_MN009","691","201902092100","7.7","7","1"
"TT_TU_MN009","691","201902092200","8.2","7","1"
"TT_TU_MN009","691","201902092300","7.3","7","1"
"TT_TU_MN009","691","201902100000","7.5","7","1"
"TT_TU_MN009","691","201902100100","7.7","7","1"
"TT_TU_MN009","691","201902100200","7.6","7","1"
"TT_TU_MN009","691","201902100300","5.6","7","1"
"TT_TU_MN009","691","201902100400","5.7","7","1"
"TT_TU_MN009","691","201902100500","7","7","1"
"TT_TU_MN009","691","201902100600","6.7","7","1"
"TT_TU_MN009","691","201902100700","6.1","7","1"
"TT_TU_MN009","691","201902100800","5.6","7","1"
"TT_TU_MN009","691","201902100900","5.7","7","1"
"TT_TU_MN009","691","201902101000","6","7","1"
"TT_TU_MN009","691","201902101100","7","7","1"
"TT_TU_MN009","691","201902101200","8","7","1"
"TT_TU_MN009","691","201902101300","9.1","7","1"
"TT_TU_MN009","691","201902101400","9.4","7","1"
"TT_TU_MN009","691","201902101500","9.5","7","1"
"TT_TU_MN009","691","201902101600","8","7","1"
"TT_TU_MN009","691","201902101700","6.6","7","1"
"TT_TU_MN009","691","201902101800","4.7","7","1"
"TT_TU_MN009","691","201902101900","3.1","7","1"
"TT_TU_MN009","691","201902102000","1.6","7","1"
"TT_TU_MN009","691","201902102100","2.4","7","1"
"TT_TU_MN009","691","201902102200","4.8","7","1"
"TT_TU_MN009","691","201902102300","5.2","7","1"
"TT_TU_MN009","691","201902110000","4.5","7","1"
"TT_TU_MN009","691","201902110100","4.6","7","1"
"TT_TU_MN009","691","201902110200","5.5","7","1"
"TT_TU_MN009","691","201902110300","5.3","7","1"
"TT_TU_MN009","691","201902110400","5.5","7","1"
"TT_TU_MN009","691","201902110500","5.5","7","1"
"TT_TU_MN009","691","201902110600","5.4","7","1"
"TT_TU_MN009","691","201902110700","5.2","7","1"
"TT_TU_MN009","691","201902110800","5.1","7","1"
"TT_TU_MN009","691","201902110900","5.9","7","1"
"TT_TU_MN009","691","201902111000","6.8","7","1"
"TT_TU_MN009","691","201902111100","7.3","7","1"
"TT_TU_MN009","691","201902111200","6.8","7","1"
"TT_TU_MN009","691","201902111300","6.7","7","1"
"TT_TU_MN009","691","201902111400","6.4","7","1"
"TT_TU_MN009","691","201902111500","6.5","7","1"
"TT_TU_MN009","691","201902111600","5.8","7","1"
"TT_TU_MN009","691","201902111700","5.1","7","1"
"TT_TU_MN009","691","201902111800","4.3","7","1"
"TT_TU_MN009","691","201902111900","4.2","7","1"
"TT_TU_MN009","691","201902112000","4.3","7","1"
"TT_TU_MN009","691","201902112100","4.2","7","1"
"TT_TU_MN009","691","201902112200","3.6","7","1"
"TT_TU_MN009","691","201902112300","4.3","7","1"
"TT_TU_MN009","691","201902120000","4.3","7","1"
"TT_TU_MN009","691","201902120100","4.3","7","1"
"TT_TU_MN009","691","201902120200","3.7","7","1"
"TT_TU_MN009","691","201902120300","3.4","7","1"
"TT_TU_MN009","691","201902120400","2.9","7","1"
"TT_TU_MN009","691","201902120500","3.1","7","1"
"TT_TU_MN009","691","201902120600","3.2","7","1"
"TT_TU_MN009","691","201902120700","2.7","7","1"
"TT_TU_MN009","691","201902120800","3","7","1"
"TT_TU_MN009","691","201902120900","4.2","7","1"
"TT_TU_MN009","691","201902121000","5.5","7","1"
"TT_TU_MN009","691","201902121100","6.2","7","1"
"TT_TU_MN009","691","201902121200","6.8","7","1"
"TT_TU_MN009","691","201902121300","6.8","7","1"
"TT_TU_MN009","691","201902121400","7.5","7","1"
"TT_TU_MN009","691","201902121500","7.4","7","1"
"TT_TU_MN009","691","201902121600","6.5","7","1"
"TT_TU_MN009","691","201902121700","5.3","7","1"
"TT_TU_MN009","691","201902121800","4.7","7","1"
"TT_TU_MN009","691","201902121900","5","7","1"
"TT_TU_MN009","691","201902122000","5.3","7","1"
"TT_TU_MN009","691","201902122100","5.5","7","1"
"TT_TU_MN009","691","201902122200","5.5","7","1"
"TT_TU_MN009","691","201902122300","6.1","7","1"
"TT_TU_MN009","691","201902130000","6.3","7","1"
"TT_TU_MN009","691","201902130100","6.3","7","1"
"TT_TU_MN009","691","201902130200","6.1","7","1"
"TT_TU_MN009","691","201902130300","6.3","7","1"
"TT_TU_MN009","691","201902130400","5.9","7","1"
"TT_TU_MN009","691","201902130500","6.1","7","1"
"TT_TU_MN009","691","201902130600","6.4","7","1"
"TT_TU_MN009","691","201902130700","6.6","7","1"
"TT_TU_MN009","691","201902130800","6.5","7","1"
"TT_TU_MN009","691","201902130900","6.6","7","1"
"TT_TU_MN009","691","201902131000","7","7","1"
"TT_TU_MN009","691","201902131100","6.9","7","1"
"TT_TU_MN009","691","201902131200","7.7","7","1"
"TT_TU_MN009","691","201902131300","8.4","7","1"
"TT_TU_MN009","691","201902131400","8.4","7","1"
"TT_TU_MN009","691","201902131500","8.4","7","1"
"TT_TU_MN009","691","201902131600","7.8","7","1"
"TT_TU_MN009","691","201902131700","7.6","7","1"
"TT_TU_MN009","691","201902131800","7.5","7","1"
"TT_TU_MN009","691","201902131900","6.6","7","1"
"TT_TU_MN009","691","201902132000","6.4","7","1"
"TT_TU_MN009","691","201902132100","6.7","7","1"
"TT_TU_MN009","691","201902132200","6.6","7","1"
"TT_TU_MN009","691","201902132300","5.2","7","1"
"TT_TU_MN009","691","201902140000","3.9","7","1"
"TT_TU_MN009","691","201902140100","3.4","7","1"
"TT_TU_MN009","691","201902140200","3.5","7","1"
"TT_TU_MN009","691","201902140300","3.4","7","1"
"TT_TU_MN009","691","201902140400","2.8","7","1"
"TT_TU_MN009","691","201902140500","3.2","7","1"
"TT_TU_MN009","691","201902140600","3","7","1"
"TT_TU_MN009","691","201902140700","2.4","7","1"
"TT_TU_MN009","691","201902140800","3.1","7","1"
"TT_TU_MN009","691","201902140900","3.7","7","1"
"TT_TU_MN009","691","201902141000","6.5","7","1"
"TT_TU_MN009","691","201902141100","8.1","7","1"
"TT_TU_MN009","691","201902141200","9.2","7","1"
"TT_TU_MN009","691","201902141300","10.2","7","1"
"TT_TU_MN009","691","201902141400","10.9","7","1"
"TT_TU_MN009","691","201902141500","11.1","7","1"
"TT_TU_MN009","691","201902141600","9.6","7","1"
"TT_TU_MN009","691","201902141700","8.2","7","1"
"TT_TU_MN009","691","201902141800","5.3","7","1"
"TT_TU_MN009","691","201902141900","3.7","7","1"
"TT_TU_MN009","691","201902142000","3.4","7","1"
"TT_TU_MN009","691","201902142100","2.8","7","1"
"TT_TU_MN009","691","201902142200","1.7","7","1"
"TT_TU_MN009","691","201902142300","1","7","1"
"TT_TU_MN009","691","201902150000","0.7","7","1"
"TT_TU_MN009","691","201902150100","-0.8","7","1"
"TT_TU_MN009","691","201902150200","-0.7","7","1"
"TT_TU_MN009","691","201902150300","-0.7","7","1"
"TT_TU_MN009","691","201902150400","-1.1","7","1"
"TT_TU_MN009","691","201902150500","-0.5","7","1"
"TT_TU_MN009","691","201902150600","-0.5","7","1"
"TT_TU_MN009","691","201902150700","-0.1","7","1"
"TT_TU_MN009","691","201902150800","0.7","7","1"
"TT_TU_MN009","691","201902150900","4.3","7","1"
"TT_TU_MN009","691","201902151000","7.3","7","1"
"TT_TU_MN009","691","201902151100","10.1","7","1"
"TT_TU_MN009","691","201902151200","12.7","7","1"
"TT_TU_MN009","691","201902151300","14.6","7","1"
"TT_TU_MN009","691","201902151400","14.7","7","1"
"TT_TU_MN009","691","201902151500","14.6","7","1"
"TT_TU_MN009","691","201902151600","13.7","7","1"
"TT_TU_MN009","691","201902151700","10.8","7","1"
"TT_TU_MN009","691","201902151800","9.5","7","1"
"TT_TU_MN009","691","201902151900","8.6","7","1"
"TT_TU_MN009","691","201902152000","7.2","7","1"
"TT_TU_MN009","691","201902152100","8","7","1"
"TT_TU_MN009","691","201902152200","6.6","7","1"
"TT_TU_MN009","691","201902152300","5.1","7","1"
"TT_TU_MN009","691","201902160000","5","7","1"
"TT_TU_MN009","691","201902160100","3.9","7","1"
"TT_TU_MN009","691","201902160200","2.5","7","1"
"TT_TU_MN009","691","201902160300","2.4","7","1"
"TT_TU_MN009","691","201902160400","1.8","7","1"
"TT_TU_MN009","691","201902160500","1.7","7","1"
"TT_TU_MN009","691","201902160600","3.1","7","1"
"TT_TU_MN009","691","201902160700","0.8","7","1"
"TT_TU_MN009","691","201902160800","3.6","7","1"
"TT_TU_MN009","691","201902160900","7.1","7","1"
"TT_TU_MN009","691","201902161000","10.1","7","1"
"TT_TU_MN009","691","201902161100","11.5","7","1"
"TT_TU_MN009","691","201902161200","12.9","7","1"
"TT_TU_MN009","691","201902161300","13.6","7","1"
"TT_TU_MN009","691","201902161400","14","7","1"
"TT_TU_MN009","691","201902161500","13.3","7","1"
"TT_TU_MN009","691","201902161600","11.9","7","1"
"TT_TU_MN009","691","201902161700","8.6","7","1"
"TT_TU_MN009","691","201902161800","7.3","7","1"
"TT_TU_MN009","691","201902161900","5.3","7","1"
"TT_TU_MN009","691","201902162000","5.2","7","1"
"TT_TU_MN009","691","201902162100","3.7","7","1"
"TT_TU_MN009","691","201902162200","3.8","7","1"
"TT_TU_MN009","691","201902162300","4.5","7","1"
